HN120021220112009750000000019811057920リキサンパワー　　　　　　　　　　　ﾘｷｻﾝﾊﾟﾜｰ                                Rikisan Power                                                                   1981110500000新冠町　　　　　　　1120040612214382
HN120021220112009850000000000000000000マラキム　　　　　　　　　　　　　　ﾏﾗｷﾑ                                    Malakim                                                                         1983110331987米　　　　　　　　　1130151112405787
HN120021220112009950000000000000000000カツテイングブレード　　　　　　　　ｶﾂﾃｲﾝｸﾞﾌﾞﾚｰﾄﾞ                           Cutting Blade                                                                   1984110331987愛　　　　　　　　　1140133412405884
HN120021220112010050000000019791033530ヤスナガ　　　　　　　　　　　　　　ﾔｽﾅｶﾞ                                   Yasunaga                                                                        1979110300000静内町　　　　　　　1120021912202814
HN120021220112010150000000019811045970ゴールドウエイ　　　　　　　　　　　ｺﾞｰﾙﾄﾞｳｴｲ                               Gold Way                                                                        1981110100000静内町　　　　　　　1110095912207104
HN120021220112010250000000019811048170ロングハヤブサ　　　　　　　　　　　ﾛﾝｸﾞﾊﾔﾌﾞｻ                               Long Hayabusa                                                                   1981110300000静内町　　　　　　　1120042112212552
HN120021220112010350000000000000000000ホーン　　　　　　　　　　　　　　　ﾎｰﾝ                                     Horn                                                                            1983110331988仏　　　　　　　　　1130142212406121
HN120021220112010450000000000000000000プラウドデボネア　　　　　　　　　　ﾌﾟﾗｳﾄﾞﾃﾞﾎﾞﾈｱ                            Proud Debonair                                                                  1982110331988米　　　　　　　　　1130115312406362
HN120021220112010550000000000000000000テユーター　　　　　　　　　　　　　ﾃﾕｰﾀｰ                                   Tutor                                                                           1985110431988米　　　　　　　　　1140094812406413
HN120021220112010650000000000000000000アンテイーカ　　　　　　　　　　　　ｱﾝﾃｲｰｶ                                  Antiqua                                                                         1985110531988米　　　　　　　　　1140066512406474
HN120021220112010750000000019811004310トーアフアルコン　　　　　　　　　　ﾄｰｱﾌｱﾙｺﾝ                                Toa Falcon                                                                      1981110100000福島県　　　　　　　1120030812204860
HN120021220112010850000000019831052440ウインドストース　　　　　　　　　　ｳｲﾝﾄﾞｽﾄｰｽ                               Windstoβ                                                                       1983110300000門別町　　　　　　　1120041412210616
HN120021220112010950000000019841010070アオイノモン　　　　　　　　　　　　ｱｵｲﾉﾓﾝ                                  Aoinomon                                                                        1984110300000静内町　　　　　　　1110057612217913
