順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
319,ベーカバド,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,80,0.0,4.7着,8.7人気,41.0,,240,0,0.0%,33.3%,0.0%,115.60,12.84,56.06
320,フイルモン,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,36,0.0,7.7着,5.0人気,18.1,,110,0,0.0%,33.3%,0.0%,115.07,12.79,56.32
321,ハバツト,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,43,0.0,7.3着,3.0人気,7.4,,130,0,0.0%,33.3%,0.0%,117.40,13.04,55.20
322,トーホウエンペラー,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,163,0.0,5.0着,9.0人気,56.2,,490,0,0.0%,33.3%,0.0%,116.17,12.91,55.78
323,クラウンドプリンス,  0-  1-  0-  2/  3,0.0%,33.3%,33.3%,0,160,0.0,4.3着,4.3人気,9.5,,480,0,0.0%,33.3%,0.0%,113.67,12.63,57.01
324,ベストブラツド,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,135,0.0,3.5着,8.5人気,21.2,,270,0,0.0%,50.0%,0.0%,113.05,12.56,57.32
325,フリオーソ,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,160,0.0,3.5着,5.5人気,21.1,,320,0,0.0%,50.0%,0.0%,115.40,12.82,56.15
326,ネルシウス,  0-  1-  0-  1/  2,0.0%,50.0%,50.0%,0,75,0.0,3.5着,2.0人気,4.7,,150,0,0.0%,50.0%,0.0%,112.85,12.54,57.42
327,キャロルハウス,  0-  1-  0- 13/ 14,0.0%,7.1%,7.1%,0,7,0.0,9.7着,8.8人気,72.1,,100,0,0.0%,7.1%,0.0%,116.04,12.89,55.84
328,スウェプトオーヴァーボード,  0-  1-  0- 10/ 11,0.0%,9.1%,9.1%,0,242,0.0,10.4着,10.7人気,108.5,,2670,0,0.0%,9.1%,0.0%,115.16,12.80,56.27
329,ノボトゥルー,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,2346,0.0,8.2着,7.8人気,100.5,,14080,0,0.0%,16.7%,0.0%,114.48,12.72,56.60
330,ノノアルコ,  0-  1-  0-  5/  6,0.0%,16.7%,16.7%,0,20,0.0,9.3着,9.5人気,37.6,,120,0,0.0%,16.7%,0.0%,115.83,12.87,55.94
