順位,種牡馬,着別度数,勝率,連対率,複勝率,単勝回収値,複勝回収値,単勝適正回収値,平均着順,平均人気,平均単勝オッズ,単勝平均,複勝平均,マーク数,マーク率,２着率,３着率,平均タイム,平均1Fタイム,平均速度
295,ラシアンルーブル, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,10.3着,10.3人気,37.0,,,0,0.0%,0.0%,0.0%,73.50,12.25,58.78
296,ミュージックタイム, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,9.0着,8.3人気,128.7,,,0,0.0%,0.0%,0.0%,73.80,12.30,58.54
297,ポリッシュネイビー, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,11.7着,7.7人気,39.1,,,0,0.0%,0.0%,0.0%,73.03,12.17,59.15
298,ペンタイア, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,11.3着,9.7人気,61.8,,,0,0.0%,0.0%,0.0%,73.00,12.17,59.18
299,ハウスバスター, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,7.7着,6.0人気,71.1,,,0,0.0%,0.0%,0.0%,72.57,12.09,59.53
300,ナリタブライアン, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,10.7着,8.0人気,42.7,,,0,0.0%,0.0%,0.0%,72.47,12.08,59.61
301,ティッカネン, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,13.7着,11.0人気,64.6,,,0,0.0%,0.0%,0.0%,72.73,12.12,59.40
302,タヤスツヨシ, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,10.3着,11.3人気,53.6,,,0,0.0%,0.0%,0.0%,72.00,12.00,60.00
303,ストラヴィンスキー, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,9.0着,10.0人気,59.8,,,0,0.0%,0.0%,0.0%,71.63,11.94,60.31
304,スキャターザゴールド, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,10.0着,7.3人気,65.6,,,0,0.0%,0.0%,0.0%,73.67,12.28,58.64
305,ジェニュイン, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,13.7着,8.0人気,88.7,,,0,0.0%,0.0%,0.0%,73.30,12.22,58.94
306,サクラトウコウ, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,8.0着,6.3人気,28.7,,,0,0.0%,0.0%,0.0%,74.50,12.42,57.99
307,サウスヴィグラス, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,12.0着,11.3人気,63.6,,,0,0.0%,0.0%,0.0%,71.87,11.98,60.11
308,エブロス, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,8.7着,12.0人気,161.8,,,0,0.0%,0.0%,0.0%,72.77,12.13,59.37
309,アドマイヤマックス, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,9.7着,9.7人気,103.8,,,0,0.0%,0.0%,0.0%,72.30,12.05,59.75
310,Gulch, 0- 0- 0- 3/ 3,0.0%,0.0%,0.0%,0,0,0.0,12.3着,9.0人気,27.6,,,0,0.0%,0.0%,0.0%,73.03,12.17,59.15
311,ワツスルタツチ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,11.0着,6.5人気,23.8,,,0,0.0%,0.0%,0.0%,72.90,12.15,59.26
312,リヴリア, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.0着,9.0人気,32.7,,,0,0.0%,0.0%,0.0%,72.50,12.08,59.59
313,リードワンダー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.0着,11.0人気,40.1,,,0,0.0%,0.0%,0.0%,72.30,12.05,59.75
314,メイショウオウドウ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,8.0着,9.0人気,46.1,,,0,0.0%,0.0%,0.0%,73.00,12.17,59.18
315,ムッシュシェクル, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,8.0着,12.5人気,151.2,,,0,0.0%,0.0%,0.0%,72.70,12.12,59.42
316,マジックマイルズ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,11.0着,13.0人気,106.1,,,0,0.0%,0.0%,0.0%,73.65,12.28,58.66
317,ブラッシングジョン, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,10.0着,14.5人気,153.9,,,0,0.0%,0.0%,0.0%,72.60,12.10,59.50
318,ビワハヤヒデ, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,11.0着,9.0人気,47.0,,,0,0.0%,0.0%,0.0%,74.40,12.40,58.06
319,バンブービギン, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,7.5着,8.0人気,28.4,,,0,0.0%,0.0%,0.0%,71.05,11.84,60.80
320,ハービンジャー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,11.0着,12.5人気,121.5,,,0,0.0%,0.0%,0.0%,71.70,11.95,60.25
321,ノーパスノーセール, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,11.0着,10.5人気,62.3,,,0,0.0%,0.0%,0.0%,72.95,12.16,59.22
322,ドリームジャーニー, 0- 0- 0- 2/ 2,0.0%,0.0%,0.0%,0,0,0.0,8.0着,9.0人気,56.3,,,0,0.0%,0.0%,0.0%,70.60,11.77,61.19
