UM12004020219781000291198003211980070919780330エリモプリンス　　　　　　　　　　　ｴﾘﾓﾌﾟﾘﾝｽ                                                                                        0                   03110411200243エリモオー　　　　　　　　　　　　　12211093エースプリンシパル　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100931プリンシパルボーイ　　　　　　　　　12107875シルリアン　　　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11100928プリメラ　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100073タカクラヤマ　　　　　　　　　　　　12102030アサカゼ　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　500404小林　良助　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　603003山本　慎一　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781000321198003211980081119780418エースホワイト　　　　　　　　　　　ｴｰｽﾎﾜｲﾄ                                                                                         0                   03110411200243エリモオー　　　　　　　　　　　　　12211799ホワイトスネーク　　　　　　　　　　11300054Sir Ivor                            12107611インピユーデント　　　　　　　　　　11100806ニルコス　　　　　　　　　　　　　　12107338ハーバードウヤ　　　　　　　　　　　11300055Sir Gaylord                         12302534Attica                              11300522Owen Tudor                          12301137Saucy Lass                          11301148La Varende                          00000000　　　　　　　　　　　　　　　　　　11100565ラヴアンダン　　　　　　　　　　　　12103877ニシサン　　　　　　　　　　　　　　200125上田三千　　　　　　　　　　100404江藤　正幸　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　熊本県　　　　　　　101005増田　房二　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781001031198004281981091019780330ロイヤルマサル　　　　　　　　　　　ﾛｲﾔﾙﾏｻﾙ                             Royal Masaru(JPN)                                           0                   03110111200334ミリオンパラ　　　　　　　　　　　　12106294ヒカリヒメ　　　　　　　　　　　　　11100716バウンドレス　　　　　　　　　　　　12101528コンゴーセキ　　　　　　　　　　　　11100328テツノチカラ　　　　　　　　　　　　12102422カツフジ　　　　　　　　　　　　　　11300649Targui                              00000000　　　　　　　　　　　　　　　　　　11100058ヴイーノーピユロー　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11301024Free For All                        00000000　　　　　　　　　　　　　　　　　　11100034ツバサ　　　　　　　　　　　　　　　12101215ミスカツフヂ　　　　　　　　　　　　200237田之上勲　　　　　　　　　　200400吉永　等　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000036600000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781001041198005221981103119780319カシノエイカン　　　　　　　　　　　ｶｼﾉｴｲｶﾝ                             Kashino Eikan(JPN)                                          0                   03110311200333オサイチテツト　　　　　　　　　　　12206429タンチヨウヒメ　　　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12108830アクトナウ　　　　　　　　　　　　　11100623ジヤヴリン　　　　　　　　　　　　　12103070フロラーカツプ　　　　　　　　　　　11300075Swaps                               00000000　　　　　　　　　　　　　　　　　　11300010Alcide                              12300234Bride Elect                         11300684Tulyar                              00000000　　　　　　　　　　　　　　　　　　11100273トサミドリ　　　　　　　　　　　　　12101326第三スターリングモアノ一　　　　　　200203須貝彦三　　　　　　　　　　100188柏木　務　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　876005釘田　スミエ　　　　　　　　　　　　　　　　　　　　　　　　　　000086700000000000000000060000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781001071198005221981040819780321サツマコウイチ　　　　　　　　　　　ｻﾂﾏｺｳｲﾁ                             Satsuma Koichi(JPN)                                         0                   03110411200333オサイチテツト　　　　　　　　　　　12202274サンコオーアサテル　　　　　　　　　11100923テイツトフオアタツト　　　　　　　　12108830アクトナウ　　　　　　　　　　　　　11100634シモフサホマレ　　　　　　　　　　　12102793ダイトキツ　　　　　　　　　　　　　11300075Swaps                               00000000　　　　　　　　　　　　　　　　　　11300010Alcide                              12300234Bride Elect                         11100161ハロウエー　　　　　　　　　　　　　12101190イチジヨウ　　　　　　　　　　　　　11100314オートキツ　　　　　　　　　　　　　12101564ダイレン　　　　　　　　　　　　　　200110池江泰郎　　　　　　　　　　200188杉元　四男　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　876005釘田　スミエ　　　　　　　　　　　　　　　　　　　　　　　　　　000048100000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781001101198004231981091019780320ロータスパレード　　　　　　　　　　ﾛｰﾀｽﾊﾟﾚｰﾄﾞ                          Lotus Parade(JPN)                                           0                   00110711200349カラード　　　　　　　　　　　　　　12208727ギンザザクラ　　　　　　　　　　　　11200459ゼダーン　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100557コダマ　　　　　　　　　　　　　　　12108941ヒデユキ　　　　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11100264ブツフラー　　　　　　　　　　　　　12100944シラオキ　　　　　　　　　　　　　　11300720Zeus Boy                            12105208ニーナズレーゼンド　　　　　　　　　200237田之上勲　　　　　　　　　　500400吉永　清美　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　403005吉永　フヂ　　　　　　　　　　　　　　　　　　　　　　　　　　　000068400000000000000000000000000000000014500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781001221198007171983081719780313ケンセイソロン　　　　　　　　　　　ｹﾝｾｲｿﾛﾝ                             Kensei Tholon(JPN)                                          0                   00110311100576パーソロン　　　　　　　　　　　　　12202297ケンセイオカメ　　　　　　　　　　　11300150Milesian                            00000000　　　　　　　　　　　　　　　　　　11100833キングスベンチ　　　　　　　　　　　12105083サニア　　　　　　　　　　　　　　　11300490My Babu                             12300924Oatflake                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300296Court Martial                       00000000　　　　　　　　　　　　　　　　　　11300356Fair Trial                          12301412Yasna                               200289藤岡範士　　　　　　　　　　700171杉安牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　458009杉安　謙一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000165000000000000000001084000000000000034500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781001231198007181982081219780328ケンセイテスコ　　　　　　　　　　　ｹﾝｾｲﾃｽｺ                             Kensei Tesco(JPN)                                           0                   00110311100795テスコボーイ　　　　　　　　　　　　12204169ミスケンセイ　　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100568ネヴアービート　　　　　　　　　　　12103808イチテンシヨウ　　　　　　　　　　　11300493Nasrullah                           12400343Blue Gem                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300100Never Say Die                       00000000　　　　　　　　　　　　　　　　　　11100195シマタカ　　　　　　　　　　　　　　12100154雲浪　　　　　　　　　　　　　　　　200246土門健司　　　　　　　　　　700171杉安牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　鹿児島県　　　　　　458009杉安　謙一郎　　　　　　　　　　　　　　　　　　　　　　　　　　000044000000000000000000000000000000000019500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781001601198009271981032019780217タケデンドリーム　　　　　　　　　　ﾀｹﾃﾞﾝﾄﾞﾘｰﾑ                          Takeden Dream(JPN)                                          0                   03110311200054タケデンボー　　　　　　　　　　　　12209924タケデンバンダ　　　　　　　　　　　11100056リンボー　　　　　　　　　　　　　　12103512ヒカルジヨー　　　　　　　　　　　　11100993フロリバンダ　　　　　　　　　　　　12104851ゴシヨザクラ　　　　　　　　　　　　11300703War Admiral                         00000000　　　　　　　　　　　　　　　　　　11100368オーブリオン　　　　　　　　　　　　12101248ヒガシヤマ　　　　　　　　　　　　　11300558Princely Gift                       00000000　　　　　　　　　　　　　　　　　　11100407ラツシー　　　　　　　　　　　　　　12101542カセン　　　　　　　　　　　　　　　100317元石孝昭　　　　　　　　　　000153斉藤牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　宮城県　　　　　　　239004武市　伝一　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM42006061419781001711198006021982082719780317ファニーシノブ　　　　　　　　　　　ﾌｧﾆｰｼﾉﾌﾞ                            Funny Shinobu(JPN)                                          0                   00110111200303ラングクレスト　　　　　　　　　　　12102549ミスタニカゼ　　　　　　　　　　　　11300497Nearctic                            00000000　　　　　　　　　　　　　　　　　　11100091ゲイタイム　　　　　　　　　　　　　12100542岩泉　　　　　　　　　　　　　　　　11300496Nearco                              12401544Lady Angela                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300586Rockefella                          00000000　　　　　　　　　　　　　　　　　　11100002プリメロ　　　　　　　　　　　　　　12100153白鷲　　　　　　　　　　　　　　　　100155鴨田次男　　　　　　　　　　100158早田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　福島県　　　　　　　055009原井　義雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000096900000017000000000000000000000000034500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781001721198105061981082719780525レックレスクレスト　　　　　　　　　ﾚｯｸﾚｽｸﾚｽﾄ                           Reckless Crest(JPN)                                         0                   00110411200303ラングクレスト　　　　　　　　　　　12207155レツクレスレデイ　　　　　　　　　　11300497Nearctic                            00000000　　　　　　　　　　　　　　　　　　11300835Vibrator                            12301876Hasty Bet                           11300496Nearco                              12401544Lady Angela                         00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301171Sir Gallahad                        00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　100155鴨田次男　　　　　　　　　　100158早田牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　福島県　　　　　　　301009猪苗代　忠　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781001801198010171981092319780503バードアイ　　　　　　　　　　　　　ﾊﾞｰﾄﾞｱｲ                             Bird Eye(JPN)                                               0                   00110311200143アフレスコ　　　　　　　　　　　　　12209940ジヨウシヨウクイン　　　　　　　　　11300062Sea-Bird                            00000000　　　　　　　　　　　　　　　　　　11100922フオルテイノ　　　　　　　　　　　　12107028ムーサ　　　　　　　　　　　　　　　11300305Dan Cupid                           12402637Sicalade                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300048Grey Sovereign                      00000000　　　　　　　　　　　　　　　　　　11100565ラヴアンダン　　　　　　　　　　　　12103532パワークイーン　　　　　　　　　　　100270二本柳一　　　　　　　　　　400196今泉牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　福島県　　　　　　　288005大越　一朗　　　　　　　　　　　　　　　　　　　　　　　　　　　000004500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781001821198007181981090919780411アイランドスワロー　　　　　　　　　ｱｲﾗﾝﾄﾞｽﾜﾛｰ                          Island Swallow(JPN)                                         0                   00110111200143アフレスコ　　　　　　　　　　　　　12206029ハツフオード　　　　　　　　　　　　11300062Sea-Bird                            00000000　　　　　　　　　　　　　　　　　　11100805アイアンリージ　　　　　　　　　　　12105644モンタフオード　　　　　　　　　　　11300305Dan Cupid                           12402637Sicalade                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301123Bull Lea                            00000000　　　　　　　　　　　　　　　　　　11100493モンタヴアル　　　　　　　　　　　　12102128ハタフオード　　　　　　　　　　　　100113石毛善衛　　　　　　　　　　400196今泉牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　福島県　　　　　　　040009嶋村　二三男　　　　　　　　　　　　　　　　　　　　　　　　　　000007500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781001931198105061981070919780406ダイタクシュート　　　　　　　　　　ﾀﾞｲﾀｸｼｭｰﾄ                           Daitaku Shoot(JPN)                                          0                   03110311200203フイリーバロン　　　　　　　　　　　12209938ワイエムドーター　　　　　　　　　　11100620フイリユース　　　　　　　　　　　　12101347ミスバローン　　　　　　　　　　　　11100857ミンシオ　　　　　　　　　　　　　　12103426シーバ　　　　　　　　　　　　　　　11300539Pharis                              00000000　　　　　　　　　　　　　　　　　　11100181クモハタ　　　　　　　　　　　　　　12100338ボニーフラワー　　　　　　　　　　　11300172Relic                               00000000　　　　　　　　　　　　　　　　　　11100073タカクラヤマ　　　　　　　　　　　　12101052シーバーム　　　　　　　　　　　　　200120戌亥信義　　　　　　　　　　500196鳥海牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　福島県　　　　　　　171005中村　雅一　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781002091198010031981091019780415バトルジーガー　　　　　　　　　　　ﾊﾞﾄﾙｼﾞｰｶﾞｰ                          Battle Sieger(JPN)                                          0                   00110311200143アフレスコ　　　　　　　　　　　　　12104126ミスホウネン　　　　　　　　　　　　11300062Sea-Bird                            00000000　　　　　　　　　　　　　　　　　　11100361ソロナウエー　　　　　　　　　　　　12101309マイムーン　　　　　　　　　　　　　11300305Dan Cupid                           12402637Sicalade                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11301082Solferino                           00000000　　　　　　　　　　　　　　　　　　11100096月友　　　　　　　　　　　　　　　　12100422アスコツト　　　　　　　　　　　　　100115伊藤竹男　　　　　　　　　　430193松本牧場　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　福島県　　　　　　　394009宮川　秋信　　　　　　　　　　　　　　　　　　　　　　　　　　　000004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
UM12004020219781002121198008291980113019780407シーバードキング　　　　　　　　　　ｼｰﾊﾞｰﾄﾞｷﾝｸﾞ                                                                                     0                   00110211200143アフレスコ　　　　　　　　　　　　　12204048ロイヤルキノー　　　　　　　　　　　11300062Sea-Bird                            00000000　　　　　　　　　　　　　　　　　　11100609キノー　　　　　　　　　　　　　　　12103464都島　　　　　　　　　　　　　　　　11300305Dan Cupid                           12402637Sicalade                            00000000　　　　　　　　　　　　　　　　　　00000000　　　　　　　　　　　　　　　　　　11300738Helioscope                          00000000　　　　　　　　　　　　　　　　　　11100367マイナーズランプ　　　　　　　　　　12100999朝島　　　　　　　　　　　　　　　　100183佐々木猛　　　　　　　　　　800193松本　方富　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　福島県　　　　　　　607001今泉　貞雄　　　　　　　　　　　　　　　　　　　　　　　　　　　000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
