SE72012050720120505040101041012009104299ハレー　　　　　　　　　　　　　　　00110103100353和田正道009060Ｋ．Ｃ．タン　　　　　　　　　　　　　　　　　　　　　　　　　　黄，紫元禄，黄袖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　530000000113100000西村太一　　　　30486 00001111001235K        0000080720101400000000000000000000000003692009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+014031234500000000093
SE72012050720120505040101041022009109151ファシネイト　　　　　　　　　　　　00210103101115菊沢隆徳764008宮崎　利男　　　　　　　　　　　　　　　　　　　　　　　　　　　緑　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　540000000103100000村田一誠　　　　00458+00201212001236K        0000100907510900000000000000000000000003682009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+015031250000480018153
SE72012050720120505040101042032009102649シアワセノオウジ　　　　　　　　　　00110103201098野中賢二478030杉本　豊　　　　　　　　　　　　　　　　　　　　　　　　　　　　桃，白二本輪，海老袖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　560000000103000000松田大作　　　　00436    01414001238H        0000131109101000000000000000000000000003672009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+017031235100840091114
SE72012050720120505040101042042009100974ブループルチェッラ　　　　　　　　　00210403201099本田優　188800ブルーマネジメント　　　　　　　　　　　　　　　　　　　　　　　青，白袖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　540000000112600000松山弘平　　　　00454-00400101001221         0000030400170100050000000000000000000003592009104203アポロライダー　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　-003031220700450017012
SE72012050720120505040101043052009100911イカルストミー　　　　　　　　　　　00110303101029根本康広044006五十嵐　政則　　　　　　　　　　　　　　　　　　　　　　　　　　緑，白二本輪，紫袖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　560000000112700000丸山元気　　　　00430-00800505001230K        0000111114291200005000000000000000000003602009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+009031236400470017124
SE72012050720120505040101043062009101871シンコームーン　　　　　　　　　　　00210103201057湯窪幸雄982006豊原　正嗣　　　　　　　　　　　　　　　　　　　　　　　　　　　桃，白襷，赤袖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　530000000113000000高倉稜　　　　　10444-00400404001230212      0000080900520200007500000000000000000003632009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+009031229400460017043
SE72012050720120505040101044072009109177アンソニーバローズ　　　　　　　　　00110503101076小笠倫弘859007猪熊　広次　　　　　　　　　　　　　　　　　　　　　　　　　　　白，緑一本輪，白袖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　560000000101500000古川吉洋　　　　00514    01515001274T        0000151518171300000000000000000000000003842009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+053031241100850092134
SE72012050720120505040101044082009104203アポロライダー　　　　　　　　　　　00310303101108矢野英一033700アポロサラブレッドクラブ　　　　　　　　　　　　　　　　　　　　黒，赤袖，黄鋸歯形　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　560000000102500000勝浦正樹　　　　00434-006002020012242        0000010103070600020000000000000000000003642009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+003031231600460017051
SE72012050720120505040101045092009100309ラブファクト　　　　　　　　　　　　00210303101080清水英克354006西浦　和男　　　　　　　　　　　　　　　　　　　　　　　　　　　黄，緑玉霰，緑袖白二本輪　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　540000000111900000伊藤工真　　　　00428+00200808001234 12      0000070525251500000000000000000000000003692009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+013031242800470023143
SE72012050720120505040101045102009100313チキウミサキ　　　　　　　　　　　　00210503201123牧田和弥372008三宅　勝俊　　　　　　　　　　　　　　　　　　　　　　　　　　　黄，赤菱山形，袖青縦縞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　540000000111800000宮崎北斗　　　　00438+00800909001234K        0000050701480500000000000000000000000003702009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　+013031233900460017073
SE72012050720120505040101046112009105547クリノユングフラウ　　　　　　　　　00210403101014高市圭二970006栗本　博晴　　　　　　　　　　　　　　　　　　　　　　　　　　　緑，黒袖　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　540000000110900000黛弘人　　　　　00436    30000000000         0000000000000000000000000000000000000009992009100974ブループルチェッラ　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　0000000000　　　　　　　　　　　　　　　　　　9999031239900850092000
